,0,1,2,3
202001010401,単勝,5,140,1
202001010401,複勝,5br3br7,100br110br140,1br2br4
202001010401,馬連,3 - 5,230,1
202001010401,ワイド,3 - 5br5 - 7br3 - 7,130br240br430,1br3br6
202001010401,馬単,5 → 3,330,1
202001010401,三連複,3 - 5 - 7,650,2
202001010401,三連単,5 → 3 → 7,1600,3
202001010402,単勝,7,580,2
202001010402,複勝,7br14br13,160br230br180,1br5br2
202001010402,枠連,5 - 8,680,1
202001010402,馬連,7 - 14,2450,8
202001010402,ワイド,7 - 14br7 - 13br13 - 14,710br620br540,6br2br1
202001010402,馬単,7 → 14,4300,13
202001010402,三連複,7 - 13 - 14,2900,2
202001010402,三連単,7 → 14 → 13,22090,30
202001010403,単勝,13,910,4
202001010403,複勝,13br1br3,340br220br330,4br2br3
202001010403,枠連,1 - 8,270,1
202001010403,馬連,1 - 13,1500,5
202001010403,ワイド,1 - 13br3 - 13br1 - 3,540br850br470,5br8br4
202001010403,馬単,13 → 1,4180,14
202001010403,三連複,1 - 3 - 13,2880,7
202001010403,三連単,13 → 1 → 3,21740,64
202001010404,単勝,1,420,2
202001010404,複勝,1br6br8,170br360br450,2br6br7
202001010404,枠連,1 - 3,2040,7
202001010404,馬連,1 - 6,2800,10
202001010404,ワイド,1 - 6br1 - 8br6 - 8,"980br1,280br2,900",8br13br32
202001010404,馬単,1 → 6,4720,16
202001010404,三連複,1 - 6 - 8,14390,44
202001010404,三連単,1 → 6 → 8,58990,173
202001010405,単勝,7,180,1
202001010405,複勝,7br2,130br370,1br6
202001010405,馬連,2 - 7,1300,5
202001010405,ワイド,2 - 7br4 - 7br2 - 4,440br210br730,6br1br14
202001010405,馬単,7 → 2,1680,7
202001010405,三連複,2 - 4 - 7,1750,10
202001010405,三連単,7 → 2 → 4,6200,23
202001010406,単勝,9,670,3
202001010406,複勝,9br10br6,160br160br110,3br2br1
202001010406,枠連,7 - 8,880,3
202001010406,馬連,9 - 10,1420,5
202001010406,ワイド,9 - 10br6 - 9br6 - 10,510br260br300,5br1br2
202001010406,馬単,9 → 10,3050,13
202001010406,三連複,6 - 9 - 10,1150,1
202001010406,三連単,9 → 10 → 6,9540,27
202001010407,単勝,3,480,2
202001010407,複勝,3br7br6,"230br520br1,430",2br5br7
202001010407,馬連,3 - 7,2390,9
202001010407,ワイド,3 - 7br3 - 6br6 - 7,"630br1,600br3,690",8br17br25
202001010407,馬単,3 → 7,4280,14
202001010407,三連複,3 - 6 - 7,13820,37
202001010407,三連単,3 → 7 → 6,66680,150
202001010408,単勝,5,130,1
202001010408,複勝,5br2,110br300,1br5
202001010408,馬連,2 - 5,630,4
202001010408,ワイド,2 - 5br5 - 6br2 - 6,280br200br520,4br3br9
202001010408,馬単,5 → 2,770,4
202001010408,三連複,2 - 5 - 6,890,6
202001010408,三連単,5 → 2 → 6,2330,12
202001010409,単勝,14,2160,7
202001010409,複勝,14br12br5,560br150br450,9br1br6
202001010409,枠連,7 - 8,3360,15
202001010409,馬連,12 - 14,3180,11
202001010409,ワイド,12 - 14br5 - 14br5 - 12,"1,130br3,750br980",14br41br8
202001010409,馬単,14 → 12,8430,30
202001010409,三連複,5 - 12 - 14,13120,41
202001010409,三連単,14 → 12 → 5,97520,305
202001010410,単勝,7,1170,4
202001010410,複勝,7br12br13,390br800br520,4br9br7
202001010410,枠連,5 - 7,2520,10
202001010410,馬連,7 - 12,21010,42
202001010410,ワイド,7 - 12br7 - 13br12 - 13,"4,610br2,580br4,540",41br27br40
202001010410,馬単,7 → 12,38550,80
202001010410,三連複,7 - 12 - 13,106230,170
202001010410,三連単,7 → 12 → 13,614600,930
202001010411,単勝,1,4370,11
202001010411,複勝,1br9br2,740br200br150,12br3br1
202001010411,枠連,1 - 6,10000,24
202001010411,馬連,1 - 9,13870,37
202001010411,ワイド,1 - 9br1 - 2br2 - 9,"3,040br1,730br400",35br19br2
202001010411,馬単,1 → 9,35290,84
202001010411,三連複,1 - 2 - 9,12270,37
202001010411,三連単,1 → 9 → 2,153700,456
202001010412,単勝,3,310,1
202001010412,複勝,3br9br4,180br320br310,2br6br5
202001010412,枠連,3 - 6,1150,5
202001010412,馬連,3 - 9,2480,8
202001010412,ワイド,3 - 9br3 - 4br4 - 9,"880br860br2,110",9br8br26
202001010412,馬単,3 → 9,3650,13
202001010412,三連複,3 - 4 - 9,8690,30
202001010412,三連単,3 → 9 → 4,33570,104
202001010501,単勝,3,1450,4
202001010501,複勝,3br4br2,810br600br260,5br4br2
