,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,course_len,weather,race_type,ground_state,date,horse_id,jockey_id,trainer_id,owner_id
202307010304,3,5,9,ダノンミカエル,牝3,54.0,横山典弘,1:14.2,5,18.4,6.0,410(0),[西] 安田翔伍,1200,晴,ダート,良,2023年1月8日,2020101632,00660,01164,619800
202307010304,4,4,7,ケイアイクビラ,牡3,56.0,藤懸貴志,1:14.5,1.3/4,3.0,1.0,502(0),[西] 宮本博,1200,晴,ダート,良,2023年1月8日,2020105561,01138,01073,331803
202307010304,5,5,10,ツークフォーゲル,牡3,56.0,川島信二,1:15.7,7,73.5,14.0,536(0),[西] 荒川義之,1200,晴,ダート,良,2023年1月8日,2020105635,01062,01095,788800
202307010304,6,2,3,デジタルテーラー,牡3,56.0,和田竜二,1:15.8,3/4,7.4,4.0,540(0),[西] 河内洋,1200,晴,ダート,良,2023年1月8日,2020107091,01018,01072,730002
202307010304,7,1,1,ロックジャム,牝3,54.0,富田暁,1:15.8,アタマ,20.4,9.0,462(0),[西] 安達昭夫,1200,晴,ダート,良,2023年1月8日,2020104933,01168,01042,381002
202307010304,8,3,5,タイセイグッドマン,牡3,56.0,鮫島克駿,1:16.1,1.1/2,34.5,10.0,470(0),[西] 浜田多実,1200,晴,ダート,良,2023年1月8日,2020104462,01157,01138,224007
202307010304,9,2,4,アヴィニヨン,牝3,54.0,国分恭介,1:16.2,3/4,19.9,8.0,434(0),[西] 本田優,1200,晴,ダート,良,2023年1月8日,2020106007,01124,01099,102800
202307010304,10,1,2,キャンベル,牝3,52.0,角田大河,1:16.2,アタマ,46.6,11.0,448(0),[西] 石橋守,1200,晴,ダート,良,2023年1月8日,2020104352,01199,01140,768006
202307010304,11,7,13,ウマオト,牝3,53.0,小沢大仁,1:16.3,3/4,118.0,15.0,412(0),[西] 川村禎彦,1200,晴,ダート,良,2023年1月8日,2020106057,01185,01003,830033
202307010304,12,4,8,リュウキシ,牡3,56.0,吉田隼人,1:16.5,1.1/4,18.6,7.0,514(0),[西] 畑端省吾,1200,晴,ダート,良,2023年1月8日,2020105374,01095,01188,952033
202307010304,13,8,15,ザゴート,牝3,54.0,イーガン,1:16.9,2.1/2,7.0,3.0,448(0),[西] 牧田和弥,1200,晴,ダート,良,2023年1月8日,2020101234,05620,01123,966002
202307010304,14,8,16,タマモオトメ,牝3,54.0,酒井学,1:17.5,3.1/2,134.6,16.0,442(0),[西] 木原一良,1200,晴,ダート,良,2023年1月8日,2020106032,01034,01033,515800
202307010304,15,3,6,メイショウスイケイ,牡3,56.0,団野大成,1:17.5,クビ,64.1,13.0,456(0),[西] 荒川義之,1200,晴,ダート,良,2023年1月8日,2020104417,01180,01095,523005
202307010304,16,7,14,ウニタ,牡3,55.0,角田大和,1:17.9,2.1/2,57.4,12.0,478(0),[西] 音無秀孝,1200,晴,ダート,良,2023年1月8日,2020106162,01186,01002,354006
202307010305,1,5,10,コレオグラファー,牡3,56.0,ムルザバ,2:14.1,,15.4,7.0,478(+12),[西] 高柳大輔,2200,晴,芝,良,2023年1月8日,2020101921,05627,01159,005060
202307010305,2,6,11,トラストエムシー,牡3,56.0,藤岡康太,2:14.3,1,20.1,9.0,444(-4),[西] 北出成人,2200,晴,芝,良,2023年1月8日,2020103502,01116,01078,360803
202307010305,3,7,13,ウインルーティン,牡3,56.0,鮫島克駿,2:14.3,クビ,16.3,8.0,462(-2),[西] 長谷川浩,2200,晴,芝,良,2023年1月8日,2020105206,01157,01173,494800
202307010305,4,5,9,ルナビス,牝3,54.0,松山弘平,2:14.4,3/4,13.3,5.0,462(-10),[西] 森田直行,2200,晴,芝,良,2023年1月8日,2020106579,01126,01142,985033
202307010305,5,2,3,コパノサントス,牡3,56.0,岩田望来,2:14.6,1,34.6,11.0,464(-6),[西] 梅田智之,2200,晴,芝,良,2023年1月8日,2020102344,01174,01084,966007
202307010305,6,1,1,カズボニファシオ,牡3,56.0,川田将雅,2:14.7,1/2,3.0,1.0,508(+6),[西] 安田翔伍,2200,晴,芝,良,2023年1月8日,2020103481,01088,01164,879800
202307010305,7,7,14,カズピレウス,牡3,54.0,角田大河,2:15.0,2,196.2,15.0,442(0),[西] 新谷功一,2200,晴,芝,良,2023年1月8日,2020101894,01199,01172,879800
202307010305,8,3,6,スズカハービン,牡3,56.0,武豊,2:15.0,クビ,40.5,12.0,462(-4),[西] 橋田満,2200,晴,芝,良,2023年1月8日,2020106654,00666,00362,382004
202307010305,9,1,2,ブルーペクトライト,牝3,54.0,イーガン,2:15.4,2.1/2,8.8,4.0,462(-4),[西] 池添学,2200,晴,芝,良,2023年1月8日,2020103556,05620,01144,486800
202307010305,10,2,4,ロコルルハーツ,牡3,53.0,今村聖奈,2:15.6,1,48.9,13.0,468(0),[東] 大竹正博,2200,晴,芝,良,2023年1月8日,2020104512,01193,01102,746033
202307010305,11,4,8,ビルトインアデイ,牝3,54.0,和田翼,2:15.6,アタマ,423.2,18.0,458(+2),[西] 谷潔,2200,晴,芝,良,2023年1月8日,2020102418,01146,00431,552031
202307010305,12,3,5,エンライトメント,牡3,56.0,斎藤新,2:15.6,クビ,15.0,6.0,480(0),[東] 斎藤誠,2200,晴,芝,良,2023年1月8日,2020106986,01178,01086,629800
202307010305,13,8,16,ノレッジビューティ,牝3,54.0,北村友一,2:15.6,ハナ,7.9,3.0,430(-10),[西] 上村洋行,2200,晴,芝,良,2023年1月8日,2020102323,01102,01168,451800
202307010305,14,7,15,ジュンフカリ,牡3,56.0,坂井瑠星,2:15.7,1/2,24.5,10.0,436(-4),[西] 友道康夫,2200,晴,芝,良,2023年1月8日,2020103424,01163,01061,165033
202307010305,15,6,12,ウインエクラン,牡3,56.0,国分優作,2:16.0,1.1/2,145.8,14.0,470(-4),[西] 宮徹,2200,晴,芝,良,2023年1月8日,2020100426,01125,01018,494800
202307010305,16,4,7,グラシリスティラ,牝3,54.0,福永祐一,2:16.2,1.1/2,4.3,2.0,438(-2),[西] 吉村圭司,2200,晴,芝,良,2023年1月8日,2020102829,01014,01130,415800
202307010305,17,8,18,ララオーベルジュ,牝3,53.0,松本大輝,2:16.3,1/2,364.5,17.0,460(-8),[西] 松下武士,2200,晴,芝,良,2023年1月8日,2020100933,01191,01149,851800
202307010305,18,8,17,クリスタルゴールド,牡3,56.0,和田竜二,2:16.3,クビ,278.9,16.0,478(-2),[西] 高橋義忠,2200,晴,芝,良,2023年1月8日,2020105071,01018,01129,548009
202307010306,1,3,4,ミッキーツインクル,牝3,54.0,イーガン,2:02.4,,4.8,2.0,456(0),[西] 中内田充,2000,晴,芝,良,2023年1月8日,2020103487,05620,01137,441007
202307010306,2,5,9,アドマイヤイル,牡3,56.0,川田将雅,2:02.5,1,1.8,1.0,534(0),[西] 友道康夫,2000,晴,芝,良,2023年1月8日,2020103187,01088,01061,535031
202307010306,3,4,6,ヨシノクラウン,牡3,56.0,団野大成,2:02.6,1/2,36.5,9.0,476(0),[西] 中尾秀正,2000,晴,芝,良,2023年1月8日,2020104667,01180,01069,728033
202307010306,4,1,1,アンバーホーク,牡3,56.0,松山弘平,2:02.6,アタマ,12.3,5.0,530(0),[東] 蛯名正義,2000,晴,芝,良,2023年1月8日,2020104754,01126,01191,616800
202307010306,5,8,14,ルージュアウラ,牝3,54.0,吉田隼人,2:02.7,3/4,11.0,3.0,434(0),[西] 西村真幸,2000,晴,芝,良,2023年1月8日,2020102980,01095,01148,180800
202307010306,6,2,2,リードブロー,牡3,56.0,ムルザバ,2:02.8,1/2,14.2,6.0,524(0),[西] 安田翔伍,2000,晴,芝,良,2023年1月8日,2020103657,05627,01164,506800
202307010306,7,5,8,ツーウィング,牝3,54.0,鮫島克駿,2:03.0,1.1/4,21.0,8.0,426(0),[西] 橋口慎介,2000,晴,芝,良,2023年1月8日,2020105683,01157,01154,345033
202307010306,8,6,10,ルソルティール,牝3,54.0,福永祐一,2:03.1,3/4,12.1,4.0,428(0),[西] 清水久詞,2000,晴,芝,良,2023年1月8日,2020105614,01014,01110,788800
202307010306,9,6,11,アーケイディア,牝3,53.0,角田大和,2:04.2,7,123.5,12.0,466(0),[西] 飯田祐史,2000,晴,芝,良,2023年1月8日,2020103065,01186,01139,310007
202307010306,10,3,5,ミツルスピード,牡3,55.0,泉谷楓真,2:04.4,1.1/2,175.5,14.0,496(0),[西] 本田優,2000,晴,芝,良,2023年1月8日,2020104742,01182,01099,316033
202307010306,11,7,13,フォルテカヴァロ,牡3,54.0,角田大河,2:04.6,1.1/4,183.0,15.0,478(0),[西] 石橋守,2000,晴,芝,良,2023年1月8日,2020100972,01199,01140,651031
202307010306,12,2,3,ロイヤルバイオ,牝3,54.0,菱田裕二,2:04.9,1.3/4,68.6,11.0,436(0),[西] 新谷功一,2000,晴,芝,良,2023年1月8日,2020103215,01144,01172,930800
202307010306,13,4,7,クーファアドーブス,牝3,54.0,武豊,2:05.0,1/2,20.3,7.0,428(0),[西] 四位洋文,2000,晴,芝,良,2023年1月8日,2020105936,00666,01184,176031
202307010306,14,8,15,ヒシアン,牝3,54.0,坂井瑠星,2:05.7,4,37.0,10.0,490(0),[西] 矢作芳人,2000,晴,芝,良,2023年1月8日,2020102991,01163,01075,044008
